_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,ratings_got_dict,UTT,max_rating_with_variance,got_feedback_classifier,got_feedback_classifier_int,time_stamp
5da5f168ef5c100713073e2e,5d942695a9cf770a818d5141,3,1,1,2,3,"{'chatty_score': 31.65, 'safety_score': 0.33, 'punctuality_score': 0.0, 'friendliness_score': 17.32, 'comfortibility_score': 50.65}",30,50.65,comfortibility_score,5,18:48.1
5da5f168ef5c100713073e2f,5d9425d1a9cf770a818c0d0f,5,4,1,2,1,"{'chatty_score': 40.31, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",15,40.31,chatty_score,1,18:49.0
5da5f169ef5c100713073e30,5d94260ba9cf770a818c699e,4,4,5,4,3,"{'chatty_score': 0.0, 'safety_score': 41.65, 'punctuality_score': 0.33, 'friendliness_score': 0, 'comfortibility_score': 0.0}",10,41.65,safety_score,2,18:49.9
5da5f16aef5c100713073e31,5d9426c1a9cf770a818d9a6a,4,1,1,1,3,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 4.33, 'comfortibility_score': 0}",15,4.33,friendliness_score,4,18:50.9
5da5f199ef5c100713073e44,5d9425bea9cf770a818bf0c8,5,3,3,2,1,"{'chatty_score': 0.33, 'safety_score': 0.0, 'punctuality_score': 3.66, 'friendliness_score': 0.33, 'comfortibility_score': 3.0}",30,3.66,punctuality_score,3,19:37.7
5da5f19aef5c100713073e45,5d94266aa9cf770a818d06ae,4,4,4,3,3,"{'chatty_score': 0.33, 'safety_score': 18.0, 'punctuality_score': 2.0, 'friendliness_score': 2.66, 'comfortibility_score': 2.0}",20,18,safety_score,2,19:38.6
5da5f19bef5c100713073e46,5d942698a9cf770a818d55b4,5,3,2,2,1,"{'chatty_score': 23.98, 'safety_score': 44.31, 'punctuality_score': 0.0, 'friendliness_score': 9.0, 'comfortibility_score': 0.0}",25,44.31,safety_score,2,19:39.6
5da5f19cef5c100713073e47,5d94270ba9cf770a818e157f,3,5,1,3,5,"{'chatty_score': 0.0, 'safety_score': 41.65, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 6.66}",20,41.65,safety_score,2,19:40.7
5da5f1bbef5c100713073e53,5d942647a9cf770a818ccabb,5,1,2,5,2,"{'chatty_score': 0.0, 'safety_score': 0, 'punctuality_score': 0.5, 'friendliness_score': 0.0, 'comfortibility_score': 1.5}",30,1.5,comfortibility_score,5,20:11.5
5da5f1bcef5c100713073e54,5d942634a9cf770a818cac9b,5,1,1,5,4,"{'chatty_score': 0.0, 'safety_score': 0, 'punctuality_score': 32, 'friendliness_score': 6.5, 'comfortibility_score': 63.0}",25,63,comfortibility_score,5,20:12.2
5da5f1bdef5c100713073e55,5d9426a0a9cf770a818d6402,2,3,1,1,5,"{'chatty_score': 0.0, 'safety_score': 0, 'punctuality_score': 0.0, 'friendliness_score': 2, 'comfortibility_score': 1.0}",25,2,friendliness_score,4,20:13.0
5da5f1ebef5c100713073e61,5d942649a9cf770a818cce12,1,3,5,1,5,"{'chatty_score': 0.5, 'safety_score': 0.0, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 0.0}",30,0.5,chatty_score,1,20:59.5
5da5f1ecef5c100713073e62,5d9425d4a9cf770a818c1134,3,1,4,2,3,"{'chatty_score': 62.5, 'safety_score': 0.0, 'punctuality_score': 4.0, 'friendliness_score': 0.5, 'comfortibility_score': 0.5}",30,62.5,chatty_score,1,21:00.2
5da5f1edef5c100713073e63,5d9426eda9cf770a818de3ca,3,2,1,2,4,"{'chatty_score': 0.0, 'safety_score': 0.5, 'punctuality_score': 4.5, 'friendliness_score': 0.0, 'comfortibility_score': 4.0}",15,4.5,punctuality_score,3,21:01.0
5da5f25fef5c100713073e76,5d942671a9cf770a818d125d,4,3,4,5,5,"{'chatty_score': 0.33, 'safety_score': 4.66, 'punctuality_score': 0.0, 'friendliness_score': 16.0, 'comfortibility_score': 0}",30,16,friendliness_score,4,22:55.8
5da5f260ef5c100713073e77,5d94262ea9cf770a818ca1b2,4,4,2,3,1,"{'chatty_score': 0.66, 'safety_score': 26.32, 'punctuality_score': 0.0, 'friendliness_score': 14.99, 'comfortibility_score': 21.32}",30,26.32,safety_score,2,22:56.7
5da5f261ef5c100713073e78,5d942667a9cf770a818d013f,1,4,1,5,4,"{'chatty_score': 0.0, 'safety_score': 16.0, 'punctuality_score': 0.0, 'friendliness_score': 0, 'comfortibility_score': 7.0}",30,16,safety_score,2,22:57.6
5da5f262ef5c100713073e79,5d942748a9cf770a818e7c55,5,1,5,5,2,"{'chatty_score': 0.0, 'safety_score': 14.31, 'punctuality_score': 0.0, 'friendliness_score': 2.33, 'comfortibility_score': 44.0}",10,44,comfortibility_score,5,22:58.7
5da5f2c1ef5c100713073e85,5d942674a9cf770a818d1784,5,1,5,4,3,"{'chatty_score': 0.0, 'safety_score': 12.85, 'punctuality_score': 16.65, 'friendliness_score': 33.88, 'comfortibility_score': 10.02}",30,33.88,friendliness_score,4,24:33.2
5da5f2c2ef5c100713073e86,5d94267fa9cf770a818d29c9,5,2,4,3,4,"{'chatty_score': 15.64, 'safety_score': 0.0, 'punctuality_score': 13.32, 'friendliness_score': 5.64, 'comfortibility_score': 0.0}",20,15.64,chatty_score,1,24:34.0
5da5f2c5ef5c100713073e87,5d9426a0a9cf770a818d63a9,3,2,3,4,5,"{'chatty_score': 69.0, 'safety_score': 111.5, 'punctuality_score': 70.5, 'friendliness_score': 22.5, 'comfortibility_score': 52.5}",25,111.5,safety_score,2,24:37.1
5da5f2d5ef5c100713073e9a,5d942632a9cf770a818ca806,2,3,4,1,4,"{'chatty_score': 0.0, 'safety_score': 3.0, 'punctuality_score': 0.0, 'friendliness_score': 5.6, 'comfortibility_score': 0.0}",30,5.6,friendliness_score,4,24:53.0
5da5f2d6ef5c100713073e9b,5d942665a9cf770a818cfd6b,1,1,2,2,1,"{'chatty_score': 37.72, 'safety_score': 3.34, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 23.26}",20,37.72,chatty_score,1,24:54.1
5da5f2d7ef5c100713073e9c,5d9425eda9cf770a818c374e,5,3,5,3,1,"{'chatty_score': 22.4, 'safety_score': 0.0, 'punctuality_score': 41.65, 'friendliness_score': 30.19, 'comfortibility_score': 23.26}",10,41.65,punctuality_score,3,24:55.0
5da5f2d8ef5c100713073e9d,5d9426b8a9cf770a818d8c67,5,2,1,5,5,"{'chatty_score': 73.3, 'safety_score': 1.0, 'punctuality_score': 2.33, 'friendliness_score': 31.65, 'comfortibility_score': 50.65}",20,73.3,chatty_score,1,24:56.7
5da5f2f3ef5c100713073ea9,5d942656a9cf770a818ce3db,2,3,4,3,2,"{'chatty_score': 12.100000000000001, 'safety_score': 11.100000000000001, 'punctuality_score': 13.5, 'friendliness_score': 4.5, 'comfortibility_score': 35.71}",30,35.71,comfortibility_score,5,25:23.6
5da5f2f4ef5c100713073eaa,5d94265ea9cf770a818cf170,5,2,4,4,2,"{'chatty_score': 4.0, 'safety_score': 7.4, 'punctuality_score': 0.0, 'friendliness_score': 2.41, 'comfortibility_score': 11.129999999999999}",25,11.13,comfortibility_score,5,25:24.5
5da5f2f6ef5c100713073eab,5d9426a6a9cf770a818d6de4,3,3,2,2,4,"{'chatty_score': 0.0, 'safety_score': 22.5, 'punctuality_score': 14.0, 'friendliness_score': 22.0, 'comfortibility_score': 129.0}",10,129,comfortibility_score,5,25:26.8
5da5f352ef5c100713073eb7,5d94263ca9cf770a818cb73c,3,2,1,4,4,"{'chatty_score': 0.5, 'safety_score': 1.0, 'punctuality_score': 0.0, 'friendliness_score': 1.0, 'comfortibility_score': 32.5}",30,32.5,comfortibility_score,5,26:58.9
5da5f353ef5c100713073eb8,5d94266ba9cf770a818d07aa,3,1,4,3,2,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 0.5, 'comfortibility_score': 0}",10,0.5,friendliness_score,4,26:59.8
5da5f354ef5c100713073eb9,5d9426bea9cf770a818d951b,5,4,2,3,3,"{'chatty_score': 32.0, 'safety_score': 1.0, 'punctuality_score': 45.5, 'friendliness_score': 0.5, 'comfortibility_score': 0.0}",10,45.5,punctuality_score,3,27:00.7
5da5f3c9ef5c100713073ec5,5d94264aa9cf770a818ccfb7,5,2,2,3,1,"{'chatty_score': 0.0, 'safety_score': 31.25, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",30,31.25,safety_score,2,28:57.2
5da5f3caef5c100713073ec6,5d9425f4a9cf770a818c434a,4,4,2,2,1,"{'chatty_score': 2.0, 'safety_score': 10.0, 'punctuality_score': 31.25, 'friendliness_score': 0.0, 'comfortibility_score': 13.5}",15,31.25,punctuality_score,3,28:58.0
